,COUNTYFP20,VAP,AMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,AMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
137,005,1319,1293,735,218,26,1319,1.0,0.9802880970432145,0.019711902956785442,366,0.5572403335860501,0.1652767247915087,0.27748294162244125
138,005,922,43,135,430,879,922,1.0,0.046637744034707156,0.9533622559652929,357,0.14642082429501085,0.46637744034707157,0.3872017353579176
139,005,1066,1001,534,186,65,1066,1.0,0.9390243902439024,0.06097560975609756,346,0.50093808630394,0.17448405253283303,0.324577861163227
140,005,1429,1391,844,198,38,1429,1.0,0.9734079776067179,0.026592022393282014,387,0.5906228131560531,0.13855843247025892,0.2708187543736879
141,005,582,565,257,26,17,582,1.0,0.9707903780068728,0.029209621993127148,299,0.4415807560137457,0.044673539518900345,0.5137457044673539
142,005,92,89,71,19,3,92,1.0,0.967391304347826,0.03260869565217391,2,0.7717391304347826,0.20652173913043478,0.021739130434782608
143,005,1559,492,350,452,1067,1559,1.0,0.31558691468890315,0.6844130853110969,757,0.22450288646568314,0.28992944194996795,0.48556767158434894
144,005,1281,292,313,519,989,1281,1.0,0.22794691647150664,0.7720530835284933,449,0.24434035909445745,0.405152224824356,0.3505074160811866
145,005,1655,1061,330,285,594,1655,1.0,0.6410876132930513,0.35891238670694864,1040,0.19939577039274925,0.17220543806646527,0.6283987915407855
146,005,1365,182,387,544,1183,1365,1.0,0.13333333333333333,0.8666666666666667,434,0.2835164835164835,0.39853479853479856,0.31794871794871793
147,005,1226,19,303,700,1207,1226,1.0,0.015497553017944535,0.9845024469820555,223,0.24714518760195758,0.5709624796084829,0.18189233278955955
148,005,1000,11,316,552,989,1000,1.0,0.011,0.989,132,0.316,0.552,0.132
149,005,1203,9,456,331,1194,1203,1.0,0.007481296758104738,0.9925187032418953,416,0.3790523690773067,0.27514546965918535,0.3458021612635079
150,005,1665,7,797,607,1658,1665,1.0,0.004204204204204204,0.9957957957957958,261,0.4786786786786787,0.36456456456456454,0.15675675675675677
